countryterritoryCode,GDP per capita (current US$),Current health expenditure per capita (current US$),Population ages 65 and above (% of total population),Population density,Urban population (% of total population)
AFG,520.896602719135,67.12265014648439,2.58492693988024,56.937760009803,25.495
ALB,5268.84850355919,,13.7447359109736,104.61226277372299,60.318999999999996
DZA,4114.71506136896,258.494293212891,6.3624965449798605,17.7300750711665,72.62899999999999
AND,42029.7627372989,4040.78662109375,,163.842553191489,88.06200000000001
AGO,3432.38573600893,114.45964050293001,2.21637364776329,24.713052057431604,65.514
ATG,16726.9808079479,673.859680175781,8.79982551980558,218.83181818181802,24.599
ARG,11683.949621636299,1324.603515625,11.1177888760774,16.2585100979651,91.87
ARM,4212.0709427293705,407.635864257813,11.2538176570131,103.68022479803301,63.148999999999994
ABW,25630.266492206898,,13.5509471396854,588.027777777778,43.411
AUS,57373.68668412809,5331.81787109375,15.656475227559099,3.24912948744283,86.012
AUT,51461.9547804677,4939.87548828125,19.0015664595899,107.20692666757799,58.297
AZE,4721.17808673142,275.809356689453,6.195182750714929,120.265319946776,55.68
BHS,32217.871590084,1771.53552246094,7.25760235662035,38.5254745254745,83.025
BHR,24050.7575053956,1127.18627929688,2.42633387832394,2017.27369979138,89.287
BGD,1698.26280233547,36.2823371887207,5.15839063962068,1239.5793116693599,36.632
BRB,17949.2815054371,1183.83618164063,15.802693962133802,666.606976744186,31.147
BLR,6289.93855308212,342.499908447266,14.8451481743098,46.7287999040892,78.595
BEL,47518.636038891396,4507.3564453125,18.7887437383395,377.21492734478204,98.001
BLZ,4884.74242133376,280.498809814453,4.736458776571441,16.7939938623411,45.724
BEN,901.5438712063569,30.7664470672607,3.25360529746338,101.853919829727,47.312
BMU,85748.0654143782,,,1184.59257167194,100.0
BTN,3243.23112508014,96.7993011474609,6.003011712805611,19.7775277714448,40.895
BOL,3548.5901397933794,220.274566650391,7.19194739218447,10.4801458506416,69.425
BIH,6065.67270824158,460.473327636719,16.4703174710621,64.92048828125,48.245
BWA,8258.641665746909,465.929321289063,4.22387434629301,3.9774248760432704,69.446
BRA,8920.76210462979,928.79931640625,8.92283783244003,25.061716243087602,86.569
VGB,,,,198.68,47.723
BRN,31628.328791434902,671.4114990234381,4.8731475675058205,81.39696394686909,77.62899999999999
BGR,9272.62930360848,663.715087890625,21.021914434268,64.7035372144436,75.008
