countryterritoryCode,countriesAndTerritories,GDP per capita (current US$),Current health expenditure per capita (current US$),Population ages 65 and above (% of total population),Population density,Urban population (% of total population)
ROU,Romania,12301.1864034302,555.104736328125,18.338701393829602,84.6398470097357,53.998000000000005
RUS,Russia,11288.8784475021,585.873229980469,14.6747083203719,8.82207955488442,74.433
RWA,Rwanda,772.944459929187,49.2044563293457,2.9381960775388,498.659870287799,17.211
KNA,Saint_Kitts_and_Nevis,19275.4185126566,902.6589965820309,,201.69615384615398,30.776
LCA,Saint_Lucia,10566.0497458462,460.06881713867205,9.806530356426169,298.17868852459,18.678
VCT,Saint_Vincent_and_the_Grenadines,7361.4009618002,320.593292236328,9.58978686338024,282.589743589744,52.198
SMR,San_Marino,48494.5514112427,3361.64477539063,,563.083333333333,97.226
STP,Sao_Tome_and_Principe,2001.1409022616397,119.695655822754,2.9256781090661,219.820833333333,72.803
SAU,Saudi_Arabia,23338.9634580718,1093.40551757813,3.31408802294981,15.6766543082956,83.844
SEN,Senegal,1521.95355421391,55.0140380859375,3.08682370101833,82.3474783150678,47.192
SRB,Serbia,7246.73165586437,528.545166015625,18.3457926916963,79.8317402241024,56.092
SYC,Seychelles,16433.9352865158,791.6566772460941,7.5945456043503405,210.35217391304298,56.691
SLE,Sierra_Leone,533.991184258936,66.4021835327148,2.96655621131612,105.987170961485,42.055
SGP,Singapore,64581.9440183954,2618.71240234375,11.4633801933791,7952.9984184018,100.0
SXM,Sint_Maarten,,,,1193.3529411764698,100.0
SVK,Slovakia,19442.705762069298,1186.13635253906,15.629246504777,113.290578202995,53.726000000000006
SVN,Slovenia,26123.9738694646,1920.28186035156,19.6068796541788,102.639859503382,54.541000000000004
SOM,Somalia,314.544165670763,,2.8733109429455603,23.923476902477102,44.971000000000004
ZAF,South_Africa,6374.02819575944,499.237548828125,5.31800500542302,47.630119776768396,66.355
KOR,South_Korea,31362.75147294,2283.07470703125,14.418555832396901,529.652103632681,81.459
SSD,South_Sudan,1119.65133182314,22.888572692871104,3.39848287985152,,19.615
ESP,Spain,30370.8923252247,2506.46484375,19.3785075224995,93.5290582615872,80.321
LKA,Sri_Lanka,4102.481350144671,159.48474121093798,10.4732197537841,345.558922022006,18.476
SDN,Sudan,977.273635724417,193.793045043945,3.58116052825144,,34.641999999999996
SUR,Suriname,6234.04492230646,339.327972412109,6.90636990225525,3.69225,66.06
SWE,Sweden,54608.3602546906,5904.583984375,20.0955249278002,25.001043431293102,87.431
CHE,Switzerland,82796.54716312849,9956.259765625,18.6232165647717,215.521378417094,73.797
SYR,Syria,2032.6234893270102,69.89218902587889,4.50312442147583,92.0671077710614,54.162
TWN,Taiwan,,,,,
THA,Thailand,7273.563207320921,247.035110473633,11.9008931395893,135.897206835131,49.949
TLS,Timor_Leste,2035.5339076888101,83.1977081298828,4.31649229400603,85.270477471419,30.578000000000003
TGO,Togo,679.257083602874,38.048713684081996,2.8694680110882205,145.04677330391598,41.702
TTO,Trinidad_and_Tobago,17129.9130902577,1124.09167480469,10.7349535163324,270.927485380117,53.184
TUN,Tunisia,3447.5079097555104,250.562225341797,8.315679078988769,74.44132337796091,68.945
TUR,Turkey,9370.1763438282,444.653686523438,8.4832129399716,106.960128893104,75.143
TCA,Turks_and_Caicos_islands,27142.2277976902,,,39.647368421052605,93.098
UGA,Uganda,642.776744292007,38.426441192627,1.9409869204631698,213.06173449032502,23.774
UKR,Ukraine,3095.17358053586,177.408889770508,16.434686439201602,77.02966735141291,69.352
ARE,United_Arab_Emirates,43004.9533584848,1357.01745605469,1.0850009848448101,135.609110109828,86.522
GBR,United_Kingdom,42943.9022698053,3858.67431640625,18.395865674146602,274.82739222089003,83.398
TZA,United_Republic_of_Tanzania,1060.99461489421,33.916576385498,2.60129917835952,63.579078798825904,33.775999999999996
USA,United_States_of_America,62794.5856522398,10246.138671875,15.8076540556035,35.766088580168,82.256
VIR,United_States_Virgin_Islands,35938.0243875154,,19.288307222009898,305.648571428571,95.721
URY,Uruguay,17277.9701105496,1591.533203125,14.8145195308593,19.7080276539824,95.334
UZB,Uzbekistan,1532.37167679684,98.82457733154301,4.419137878136401,77.46920545369059,50.478
VEN,Venezuela,16054.490513096202,94.22937774658199,7.266986620125969,32.7307919052208,88.208
VNM,Vietnam,2566.59694958511,129.57595825195298,7.2749782978793,308.12524591221296,35.919000000000004
YEM,Yemen,944.4084993734191,72.0394668579102,2.87626975604452,53.9778529083092,36.641999999999996
ZMB,Zambia,1539.9001577990698,67.6486663818359,2.09967802593266,23.341478900711603,43.521
ZWE,Zimbabwe,2146.99638487707,110.149620056152,2.9395236530011295,37.3245909267158,32.209
